TERM,TERM_TYPE,TERM_LENGTH
DJI SAM SOE,BRAND_FAMILY,11
P&S,BRAND_FAMILY,3
COLORADO,BRAND_FAMILY,8
TIGRES,BRAND_FAMILY,6
SAN,BRAND_FAMILY,3
ARBO,BRAND_FAMILY,4
START,BRAND_FAMILY,5
ECONOM,BRAND_FAMILY,6
KORALIONE,BRAND_FAMILY,9
EPIQUE,BRAND_FAMILY,6
WIARUS,BRAND_FAMILY,6
AROMA KING DARK KNIGHT 10000,BRAND_FAMILY,28
HILTON,BRAND_FAMILY,6
AMERICAN STYLE,BRAND_FAMILY,14
RIYADI,BRAND_FAMILY,6
RIVERSTONE,BRAND_FAMILY,10
PALATAISI,BRAND_FAMILY,9
PEGASUS,BRAND_FAMILY,7
SARITOGA,BRAND_FAMILY,8
UR1 STANDARD,BRAND_FAMILY,12
MONTECARLO,BRAND_FAMILY,10
WEHDE,BRAND_FAMILY,5
GLO PRO,BRAND_FAMILY,7
JAGUAR,BRAND_FAMILY,6
WILDER ROHSTOFF,BRAND_FAMILY,15
INSTYLE,BRAND_FAMILY,7
GOLDEN BLEND,BRAND_FAMILY,12
DE BRUINE,BRAND_FAMILY,9
GUI YAN,BRAND_FAMILY,7
ELEGANTES,BRAND_FAMILY,9
MC GRANT,BRAND_FAMILY,8
WINSTAR,BRAND_FAMILY,7
ATIKA,BRAND_FAMILY,5
CHEONG JA,BRAND_FAMILY,9
SPRING,BRAND_FAMILY,6
NEFT,BRAND_FAMILY,4
A MILD,BRAND_FAMILY,6
GALLOP,BRAND_FAMILY,6
BLUE SEAL,BRAND_FAMILY,9
WESTERN,BRAND_FAMILY,7
PLUGARUL,BRAND_FAMILY,8
REINERS,BRAND_FAMILY,7
VOSTOK,BRAND_FAMILY,6
COOL,BRAND_FAMILY,4
NIKKI,BRAND_FAMILY,5
ASTRU,BRAND_FAMILY,5
RUBIKON,BRAND_FAMILY,7
FAIRWAY,BRAND_FAMILY,7
ARMEISKIE,BRAND_FAMILY,9
JAISALMER,BRAND_FAMILY,9
LIVA,BRAND_FAMILY,4
RRP SMALL LAMINA,BRAND_FAMILY,16
FLAVOUR,BRAND_FAMILY,7
BANK,BRAND_FAMILY,4
UNITED VIRGINIA,BRAND_FAMILY,15
DIEZEL,BRAND_FAMILY,6
KAWI JAYA,BRAND_FAMILY,9
WILLIAMS,BRAND_FAMILY,8
PLOOM TECH+ WITH,BRAND_FAMILY,16
BARRES,BRAND_FAMILY,6
STING,BRAND_FAMILY,5
AKTIONS-ANGEBOT,BRAND_FAMILY,15
PRIVATE CLUB,BRAND_FAMILY,12
QUINTESSENCE,BRAND_FAMILY,12
VIVID,BRAND_FAMILY,5
PARAMOUNT,BRAND_FAMILY,9
STLTH,BRAND_FAMILY,5
WALTER WOLF,BRAND_FAMILY,11
SHE,BRAND_FAMILY,3
WICHERS,BRAND_FAMILY,7
THE TURNER,BRAND_FAMILY,10
CLASSIC,BRAND_FAMILY,7
GOLDEN GOR,BRAND_FAMILY,10
PARK LANE,BRAND_FAMILY,9
J&M,BRAND_FAMILY,3
WAVE,BRAND_FAMILY,4
ZLOTY LISC,BRAND_FAMILY,10
PANTAI,BRAND_FAMILY,6
U MILD,BRAND_FAMILY,6
H&P,BRAND_FAMILY,3
HATIS,BRAND_FAMILY,5
RUBY,BRAND_FAMILY,4
LUCIA,BRAND_FAMILY,5
HONGHE,BRAND_FAMILY,6
PERIM,BRAND_FAMILY,5
KUBAN TABAK,BRAND_FAMILY,11
LEME,BRAND_FAMILY,4
PRINCETON,BRAND_FAMILY,9
GENTONG,BRAND_FAMILY,7
BERATT,BRAND_FAMILY,6
DUNAS,BRAND_FAMILY,5
DAUN,BRAND_FAMILY,4
KEOPS,BRAND_FAMILY,5
SAIGON,BRAND_FAMILY,6
GLO PRO SLIM,BRAND_FAMILY,12
JONNEE RED,BRAND_FAMILY,10
MONTESOL,BRAND_FAMILY,8
OXON,BRAND_FAMILY,4
WHOOP STANDRAD,BRAND_FAMILY,14
RASTA,BRAND_FAMILY,5
SHENGSHI,BRAND_FAMILY,8
COURSE,BRAND_FAMILY,6
GILMOR,BRAND_FAMILY,6
MILLS,BRAND_FAMILY,5
NHA TRANG,BRAND_FAMILY,9
DIXIE,BRAND_FAMILY,5
JOHNSON,BRAND_FAMILY,7
EMIR ORIENT,BRAND_FAMILY,11
TEDDY,BRAND_FAMILY,5
PACIFICOS,BRAND_FAMILY,9
NUU,BRAND_FAMILY,3
VOZOL BAR 500,BRAND_FAMILY,13
PLANETA,BRAND_FAMILY,7
JEJU,BRAND_FAMILY,4
DONAGOLD,BRAND_FAMILY,8
SUCHARD (FOOD ),BRAND_FAMILY,15
DOTMOD,BRAND_FAMILY,6
FALK,BRAND_FAMILY,4
RIVAS PARK,BRAND_FAMILY,10
PLONQ,BRAND_FAMILY,5
RAWIT JAYA,BRAND_FAMILY,10
BHUMI,BRAND_FAMILY,5
928,BRAND_FAMILY,3
ISLENOS,BRAND_FAMILY,7
RRP BASIC BLEND STRIP (BBS),BRAND_FAMILY,27
VUSE,BRAND_FAMILY,4
HOLIDAY,BRAND_FAMILY,7
DUBLISS,BRAND_FAMILY,7
PRINCE,BRAND_FAMILY,6
TANGO,BRAND_FAMILY,5
NATUR,BRAND_FAMILY,5
RADOMSKIE,BRAND_FAMILY,9
AROMA KING GEM,BRAND_FAMILY,14
PEER,BRAND_FAMILY,4
QUEEN,BRAND_FAMILY,5
MARYGOLD,BRAND_FAMILY,8
KLUBOWE,BRAND_FAMILY,7
TAMAR,BRAND_FAMILY,5
GALLO,BRAND_FAMILY,5
LOONATIC STANDARD,BRAND_FAMILY,17
FONIX,BRAND_FAMILY,5
INHALE,BRAND_FAMILY,6
IQON,BRAND_FAMILY,4
COMMODORE,BRAND_FAMILY,9
IDEAL,BRAND_FAMILY,5
Y IS STYLE,BRAND_FAMILY,10
RITM,BRAND_FAMILY,4
TAPEL,BRAND_FAMILY,5
TOURIST,BRAND_FAMILY,7
AROMA KING SUPER SLIM,BRAND_FAMILY,21
TRAJAN,BRAND_FAMILY,6
FORMAN,BRAND_FAMILY,6
CHENG DU,BRAND_FAMILY,8
SONHO DE VALSA (FOOD ),BRAND_FAMILY,22
FLOR ORO,BRAND_FAMILY,8
FLYING HORSE,BRAND_FAMILY,12
MACE,BRAND_FAMILY,4
RUNNER,BRAND_FAMILY,6
GOLDPRIX,BRAND_FAMILY,8
NOT USED,BRAND_FAMILY,8
LINTANG ENAM,BRAND_FAMILY,12
BIRAWA,BRAND_FAMILY,6
MIJN GRIETJE,BRAND_FAMILY,12
AVRORA,BRAND_FAMILY,6
MONTERO,BRAND_FAMILY,7
CANADIAN TABACOFINA,BRAND_FAMILY,19
BLCK,BRAND_FAMILY,4
SHQIPERIA,BRAND_FAMILY,9
BETTAB,BRAND_FAMILY,6
MANDARIN PEARL,BRAND_FAMILY,14
QUEEN'S,BRAND_FAMILY,7
NUMBER 7,BRAND_FAMILY,8
VICTORY,BRAND_FAMILY,7
EXPORT A,BRAND_FAMILY,8
NEWMINSTER,BRAND_FAMILY,10
153,BRAND_FAMILY,3
DARCY,BRAND_FAMILY,5
GAMMA,BRAND_FAMILY,5
NOVO BAR B600,BRAND_FAMILY,13
AMO,BRAND_FAMILY,3
DUTCH MASTERS,BRAND_FAMILY,13
GOL,BRAND_FAMILY,3
JOY,BRAND_FAMILY,3
MODERN,BRAND_FAMILY,6
ZHENLONG,BRAND_FAMILY,8
TUCKY,BRAND_FAMILY,5
VAN LANDEWYCK,BRAND_FAMILY,13
HOB FS,BRAND_FAMILY,6
LESTER,BRAND_FAMILY,6
C OF D,BRAND_FAMILY,6
VOYAGE,BRAND_FAMILY,6
GOLD CLASSIC,BRAND_FAMILY,12
THE LIMIT,BRAND_FAMILY,9
SHIRE LEAVES,BRAND_FAMILY,12
NON-STOP,BRAND_FAMILY,8
CLASS A,BRAND_FAMILY,7
SUNDAY'S FANTASY,BRAND_FAMILY,16
WIKING,BRAND_FAMILY,6
SENOUSSI,BRAND_FAMILY,8
MINISTER,BRAND_FAMILY,8
ESCOT,BRAND_FAMILY,5
INK,BRAND_FAMILY,3
PREFECT,BRAND_FAMILY,7
PRAOE,BRAND_FAMILY,5
PUSZTA,BRAND_FAMILY,6
MEGAMAS,BRAND_FAMILY,7
HARNAS,BRAND_FAMILY,6
1 GILDIYA,BRAND_FAMILY,9
TAPITA (FOOD ),BRAND_FAMILY,14
DJAYA,BRAND_FAMILY,5
GUNUNG BROMO,BRAND_FAMILY,12
DOLCE VITA,BRAND_FAMILY,10
NEWBORN,BRAND_FAMILY,7
PREMIUM GOLD,BRAND_FAMILY,12
CENGKEH PUTRA,BRAND_FAMILY,13
TAM-TAM,BRAND_FAMILY,7
SAVERA,BRAND_FAMILY,6
BLACK PRINCE,BRAND_FAMILY,12
KOOL-AID (FOOD ),BRAND_FAMILY,16
MARYSIENKA,BRAND_FAMILY,10
TOBLERONE (FOOD ),BRAND_FAMILY,17
ASTPA,BRAND_FAMILY,5
DONGSHI,BRAND_FAMILY,7
SWEET CAP,BRAND_FAMILY,9
IMPERIAL CLASSIC,BRAND_FAMILY,16
TURNER,BRAND_FAMILY,6
SPAR,BRAND_FAMILY,4
ELF BAR,BRAND_FAMILY,7
TAYLOR,BRAND_FAMILY,6
AMBER LEAF,BRAND_FAMILY,10
SLAVIA,BRAND_FAMILY,6
SENTIA,BRAND_FAMILY,6
SNO,BRAND_FAMILY,3
ORIGENES,BRAND_FAMILY,8
BERGERAC,BRAND_FAMILY,8
JOCKEY,BRAND_FAMILY,6
RED BULL,BRAND_FAMILY,8
AMIGOS,BRAND_FAMILY,6
ANFA,BRAND_FAMILY,4
COBURN,BRAND_FAMILY,6
ZENON,BRAND_FAMILY,5
COUNTRY,BRAND_FAMILY,7
