IMAGE_ID,RAW_TEXT,PREDICTED_SKUs1,PREDICTED_SKUs2,PREDICTED_SKUs3,PREDICTED_SKUs4,PREDICTED_SKUs5,PREDICTED_SKUs6,PREDICTED_SKUs7,PREDICTED_SKUs8,PREDICTED_SKUs9,PREDICTED_SKUs10
00P4H00001mQ4xVUAS_Image_Response_a0Z4H00000axbUOUAY,"FOR DUTY FREE SALE ONLY | Marlboro | Tar 4 | Nicotine | Carbon | 7622100 | 850083 | monoxide | FOR-ADULT USE ONLY | Made under authority of Philip Morris Brands Sàrl, Neuchâtel, Switzerland | Manhwara | Smoking | seriously harm | you and others | around you | silver blue | Marlboro | Smoking | seriously harms | s | S. | you and others | around you | silver blue | Manhwan | Smoking | seriously harms | ng | you and others | a | Sana | y | MARLBORO | ver b | Siiver Blue | 200 | AED 123 | USD 34.17 | www.dubaidutyfree.com | -SEAL | M. | FOR | DUTY | FREE | SALE | ONLY | Tar | Made | under | authority | Philip | Morris | Brands | Neuchâtel, | Switzerland | seriously | you | and | around | silver | blue | harms | others | Siiver | Blue | AED | 123 | USD | 34.17",MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00PdP000002CwS5UAK_Image_Response_a0Z4H00000axbULUAY,Marlinea | Marlboro | Martboro | make | - | FILTER | Marlboro | white | Smoking | kills | white | g | Mailbera | Smoking | kills | MARLBORO | White | 200's | AED 198.45 | USD 55.12 | www.dubaidutyfree.com | AED | 198.45 | USD | 55.12,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00PdP000004FcZ4UAK_Image_Response_a0Z4H00000axbULUAY,Marthl | double mix | double mix | Smokir | Marlunro | kills | Smoking | the | seriously harms | rs | MARLBORO | Double Mix | 200's | AED 132 | USD 36.67 | www.dubaidutyfree.com | 11 | double | mix | seriously | harms | Double | Mix | AED | 132 | USD | 36.67,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00PdP000003lv61UAA_Image_Response_a0Z4H00000axbUNUAY,tropic | SMOKE | SMELL | CONTROL | Smoking can | damage | the sperm | and decreases | Martagen | fertility | VISTA | ceopical splash | eug geet are | aug | the | a aur | the | SMOKE | SMELL | CONTROL | Marlboro | Smoking | kills | VISTA | tropical splash | SMOKE | SM | menthol | CONTROL AELL | AL | SMILL | cassules | Killa BREATH | CONTROL | PAPER | SMOKE | SMELL | CONTROL | Smoking | Marlboro | seriously harms | you and others | round you | tropical splash | MARLBORO | Vista blossom | 200's | AED 132 | USD 36.67 | www.dubaidutyfree.com | Mu lhero | kills | 3 | double ico | OTO | can | sperm | and | decreases | splash | tropical | Killa | seriously | harms | you | others | round | Vista | blossom | AED | 132 | USD | 36.67 | double,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00PdP000000791lUAA_Image_Response_a0Z4H00000axbUJUAY,you | SELECTED PREMIUM TOBACCOS | 20 | Smoking | seriously harm | full | you and others | around you | ISELECTED PREMIUM TOBACCOS | MARLBORO | Smoking | Red | 400's | kills | AED 244 | JUM | USD 67.78 | www.dubaidutyfree.com | - | ACONSISTENT | SMOKING EXPERENCE | FROMSTART TORNSH | Smoking | kills | SELECTED | PREMIUM | TOBACCOS | seriously | harm | and | others | around | AED | 244 | USD | 67.78 | SMOKING | FROMSTART,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00P4H00001mtFSRUA2_Image_Response_a0Z4H00000axbUOUAY,III PRESSED | O. | - | - | na | D | ACCNSETENT | OS | SOL SHUFFLE | SOL SHUFFLE | SOL SHUFFL | Miriboto | SOL SHUF | SOL SHUFFLE | SOL SHUFFLE | random mix of 3 C | Smoking | PREMIUM | Smoking | when pregnant | when pregnant | Smoki | harms | harms | طمط | MARLBORO | Sol Shuffle | AED 127 | USD 35.28 | www.dubardulyfree.com | Smoking | -SEAL | A consistant taste experience | kills | flip-top box | - - | from start to finish | SOLAD | in a Soft-Touch pack | SOL | SHUFFLE | SHUF | random | mix | when | pregnant | Sol | Shuffle | AED | 127 | USD | 35.28 | consistant | experience | flip-top | from | Soft-Touch | pack,MARLBORO MIX,MARLBORO ONE,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO,MARLBORO PRIME,MARLBORO TOUCH,MARLBORO WHITE
00P4H00001mRV0kUAG_Image_Response_a0Z4H00000axbURUAY,DDF | ONLINE | ever | CLUCK & COLLECT | 00 wer BATER | - - نقبة | an | - - | BOOK | the | Smoking clogs | the arteries | and causes | Manhworn | Ma | heart attacks | and strokes | edge | less smell | Smoking | Marlboro | seriously harms | you and others | around you | edge | less smell | do | less smell | Marlboro edge | Nicotine carbon mg o A | mg | m | Smoking | Manll | Alls | MARLBORO | Edge | DDF | 200's | DDF | AED 134 | USD 37.22 | www.dubardutyfree.com | COLLECT | clogs | arteries | and | causes | heart | attacks | strokes | less | smell | seriously | harms | you | others | around | Nicotine | AED | 134 | USD | 37.22,DIANA BLU,BENSON & HEDGES GOLD,SG GIGANTE,BENSON & HEDGES ALURA,BENSON & HEDGES BLACK,BENSON & HEDGES GREEN,BENSON & HEDGES WHITE,BENSON & HEDGES LUMINO,BENSON & HEDGES SILVER,BENSON & HEDGES UNISON
00P4H00001lmKo8UAE_Image_Response_a0Z4H00000axbUOUAY,2 | OFFER | ESTD 1931 | Platinum | FIFTH VENUE | P | PARLIAMENT | ORIGINAL RECESSED™ FILTER | ORIGINAL RECESSED™ FILTER | PARLIAMENT | P | Platinum | FIFTH AVENUE - NEW YORK | ESTD 1931 | Platiruum | 15 | d | seriously ha ms | ng diseases | tal heart and | Smoking | the risk of | you and oth ers | oking reduces | Stopping | around yo | Smoking | PARLIAMENT | Platinum Blue | 400s | wills | AED 252 | USD 70.00 | www.dubardulyfree.com | 2% OFF | 24 OFFER | 2 OFFER | P | ESTD | 1931 | FIFTH | VENUE | ORIGINAL | FILTER | YORK | diseases | tal | heart | and | the | risk | you | ers | oking | reduces | around | Blue | AED | 252 | USD | 70.00 | OFF,MERIT FILTER,CRAVEN A ORIGINAL,MARK TEN ORIGINAL,MARLBORO PLATINUM,CHOICE FILTER,L&M ORIGINAL LABEL,LARK BLUE,NEXT BLUE,ASSOS BLUE,CHOICE ORIGINAL BLUE
00PdP000003mM2wUAE_Image_Response_a0Z4H00000axbURUAY,Marlboro | Smoking | NEW | kills | AND | M | White | SEAL | Malho | SELECT | !? | king | MARLBORO | ? | White | IS | Twing | 400's | - | Name | Canton | white | - | AED 244 | USD 67.78 | www.dubardutyfree.com | Marlboro | CARTONS | Smoking | seriously harms | by | g | Marlboro | you and others | Maglanro | around you | White | Marlboro | Smoking | seriously harms | you and others | g | around you | white | Maelhara | Smoking | L | / | 63 | seriously harms | you and others | king | around you | white | AED | 244 | USD | 67.78 | seriously | harms | you | and | others | around,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00PdP0000047PXHUA2_Image_Response_a0Z4H00000axbUSUAY,TEREA AMBER | AED 150 | USD 41.67 | 1 : | IQOS | EREA | TEREA | AMBER | AMBER | Works ordy with IDOBILUMA | Works only with iqos ILUMA | EREA | TEREA: | AMBER | AMBER | Works only with IQOS ILUMA | Works only with IQOS ILUMA | TEREA | TEREA | AMBER | AMBER | Works only with 1005 ILUMA | Works only with IQOS ILUMA | TEREA | TEREA | AED | 150 | USD | 41.67 | Works | only with | ILUMA | only | with,MARLBORO AMBER,CHOICE AMBER BURST,MARLBORO AMBER BURST,MARLBORO DOUBLE FUSION AMBER,AMBER,AMBER BURST,DOUBLE FUSION AMBER,,,
