matched_products_per_image.csvIMAGE_ID,RAW_TEXT,BRAND_FAMILIES_FOUND,DIFFERENTIATORS_FOUND,FULL_PRODUCT_MATCHES,CONFIDENCE_SCORE
00P4H00001mQ4xVUAS_Image_Response_a0Z4H00000axbUOUAY,FOR DUTY FREE SALE ONLY  MARLBORO  TAR 4  NICOTINE  CARBON  7622100  850083  MONOXIDE  FORADULT USE ONLY  MADE UNDER AUTHORITY OF PHILIP MORRIS BRANDS SRL NEUCHTEL SWITZERLAND  MANHWARA  SMOKING  SERIOUSLY HARM  YOU AND OTHERS  AROUND YOU  SILVER BLUE  MARLBORO  SMOKING  SERIOUSLY HARMS  S  S  YOU AND OTHERS  AROUND YOU  SILVER BLUE  MANHWAN  SMOKING  SERIOUSLY HARMS  NG  YOU AND OTHERS  A  SANA  Y  MARLBORO  VER B  SIIVER BLUE  200  AED 123  USD 3417  WWWDUBAIDUTYFREECOM  SEAL  M  FOR  DUTY  FREE  SALE  ONLY  TAR  MADE  UNDER  AUTHORITY  PHILIP  MORRIS  BRANDS  NEUCHTEL  SWITZERLAND  SERIOUSLY  YOU  AND  AROUND  SILVER  BLUE  HARMS  OTHERS  SIIVER  BLUE  AED  123  USD  3417,"MARLBORO, PHILIP MORRIS","BLUE, SILVER",,6
00PdP000002CwS5UAK_Image_Response_a0Z4H00000axbULUAY,MARLINEA  MARLBORO  MARTBORO  MAKE    FILTER  MARLBORO  WHITE  SMOKING  KILLS  WHITE  G  MAILBERA  SMOKING  KILLS  MARLBORO  WHITE  200S  AED 19845  USD 5512  WWWDUBAIDUTYFREECOM  AED  19845  USD  5512,MARLBORO,"FILTER, WHITE",,4
00PdP000004FcZ4UAK_Image_Response_a0Z4H00000axbULUAY,MARTHL  DOUBLE MIX  DOUBLE MIX  SMOKIR  MARLUNRO  KILLS  SMOKING  THE  SERIOUSLY HARMS  RS  MARLBORO  DOUBLE MIX  200S  AED 132  USD 3667  WWWDUBAIDUTYFREECOM  11  DOUBLE  MIX  SERIOUSLY  HARMS  DOUBLE  MIX  AED  132  USD  3667,MARLBORO,MIX,,3
00PdP000003lv61UAA_Image_Response_a0Z4H00000axbUNUAY,TROPIC  SMOKE  SMELL  CONTROL  SMOKING CAN  DAMAGE  THE SPERM  AND DECREASES  MARTAGEN  FERTILITY  VISTA  CEOPICAL SPLASH  EUG GEET ARE  AUG  THE  A AUR  THE  SMOKE  SMELL  CONTROL  MARLBORO  SMOKING  KILLS  VISTA  TROPICAL SPLASH  SMOKE  SM  MENTHOL  CONTROL AELL  AL  SMILL  CASSULES  KILLA BREATH  CONTROL  PAPER  SMOKE  SMELL  CONTROL  SMOKING  MARLBORO  SERIOUSLY HARMS  YOU AND OTHERS  ROUND YOU  TROPICAL SPLASH  MARLBORO  VISTA BLOSSOM  200S  AED 132  USD 3667  WWWDUBAIDUTYFREECOM  MU LHERO  KILLS  3  DOUBLE ICO  OTO  CAN  SPERM  AND  DECREASES  SPLASH  TROPICAL  KILLA  SERIOUSLY  HARMS  YOU  OTHERS  ROUND  VISTA  BLOSSOM  AED  132  USD  3667  DOUBLE,MARLBORO,MENTHOL,,3
00PdP000000791lUAA_Image_Response_a0Z4H00000axbUJUAY,YOU  SELECTED PREMIUM TOBACCOS  20  SMOKING  SERIOUSLY HARM  FULL  YOU AND OTHERS  AROUND YOU  ISELECTED PREMIUM TOBACCOS  MARLBORO  SMOKING  RED  400S  KILLS  AED 244  JUM  USD 6778  WWWDUBAIDUTYFREECOM    ACONSISTENT  SMOKING EXPERENCE  FROMSTART TORNSH  SMOKING  KILLS  SELECTED  PREMIUM  TOBACCOS  SERIOUSLY  HARM  AND  OTHERS  AROUND  AED  244  USD  6778  SMOKING  FROMSTART,MARLBORO,RED,,3
00P4H00001mtFSRUA2_Image_Response_a0Z4H00000axbUOUAY,III PRESSED  O      NA  D  ACCNSETENT  OS  SOL SHUFFLE  SOL SHUFFLE  SOL SHUFFL  MIRIBOTO  SOL SHUF  SOL SHUFFLE  SOL SHUFFLE  RANDOM MIX OF 3 C  SMOKING  PREMIUM  SMOKING  WHEN PREGNANT  WHEN PREGNANT  SMOKI  HARMS  HARMS    MARLBORO  SOL SHUFFLE  AED 127  USD 3528  WWWDUBARDULYFREECOM  SMOKING  SEAL  A CONSISTANT TASTE EXPERIENCE  KILLS  FLIPTOP BOX     FROM START TO FINISH  SOLAD  IN A SOFTTOUCH PACK  SOL  SHUFFLE  SHUF  RANDOM  MIX  WHEN  PREGNANT  SOL  SHUFFLE  AED  127  USD  3528  CONSISTANT  EXPERIENCE  FLIPTOP  FROM  SOFTTOUCH  PACK,MARLBORO,"MIX, SHUFFLE",,4
00P4H00001mRV0kUAG_Image_Response_a0Z4H00000axbURUAY,DDF  ONLINE  EVER  CLUCK  COLLECT  00 WER BATER      AN     BOOK  THE  SMOKING CLOGS  THE ARTERIES  AND CAUSES  MANHWORN  MA  HEART ATTACKS  AND STROKES  EDGE  LESS SMELL  SMOKING  MARLBORO  SERIOUSLY HARMS  YOU AND OTHERS  AROUND YOU  EDGE  LESS SMELL  DO  LESS SMELL  MARLBORO EDGE  NICOTINE CARBON MG O A  MG  M  SMOKING  MANLL  ALLS  MARLBORO  EDGE  DDF  200S  DDF  AED 134  USD 3722  WWWDUBARDUTYFREECOM  COLLECT  CLOGS  ARTERIES  AND  CAUSES  HEART  ATTACKS  STROKES  LESS  SMELL  SERIOUSLY  HARMS  YOU  OTHERS  AROUND  NICOTINE  AED  134  USD  3722,"EVE, MARLBORO",EDGE,MARLBORO EDGE,8
00P4H00001lmKo8UAE_Image_Response_a0Z4H00000axbUOUAY,2  OFFER  ESTD 1931  PLATINUM  FIFTH VENUE  P  PARLIAMENT  ORIGINAL RECESSED FILTER  ORIGINAL RECESSED FILTER  PARLIAMENT  P  PLATINUM  FIFTH AVENUE  NEW YORK  ESTD 1931  PLATIRUUM  15  D  SERIOUSLY HA MS  NG DISEASES  TAL HEART AND  SMOKING  THE RISK OF  YOU AND OTH ERS  OKING REDUCES  STOPPING  AROUND YO  SMOKING  PARLIAMENT  PLATINUM BLUE  400S  WILLS  AED 252  USD 7000  WWWDUBARDULYFREECOM  2 OFF  24 OFFER  2 OFFER  P  ESTD  1931  FIFTH  VENUE  ORIGINAL  FILTER  YORK  DISEASES  TAL  HEART  AND  THE  RISK  YOU  ERS  OKING  REDUCES  AROUND  BLUE  AED  252  USD  7000  OFF,PARLIAMENT,"BLUE, FILTER, ORIGINAL, PLATINUM",,6
00PdP000003mM2wUAE_Image_Response_a0Z4H00000axbURUAY,MARLBORO  SMOKING  NEW  KILLS  AND  M  WHITE  SEAL  MALHO  SELECT    KING  MARLBORO    WHITE  IS  TWING  400S    NAME  CANTON  WHITE    AED 244  USD 6778  WWWDUBARDUTYFREECOM  MARLBORO  CARTONS  SMOKING  SERIOUSLY HARMS  BY  G  MARLBORO  YOU AND OTHERS  MAGLANRO  AROUND YOU  WHITE  MARLBORO  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  G  AROUND YOU  WHITE  MAELHARA  SMOKING  L    63  SERIOUSLY HARMS  YOU AND OTHERS  KING  AROUND YOU  WHITE  AED  244  USD  6778  SERIOUSLY  HARMS  YOU  AND  OTHERS  AROUND,MARLBORO,"SELECT, WHITE",,4
00PdP0000047PXHUA2_Image_Response_a0Z4H00000axbUSUAY,TEREA AMBER  AED 150  USD 4167  1   IQOS  EREA  TEREA  AMBER  AMBER  WORKS ORDY WITH IDOBILUMA  WORKS ONLY WITH IQOS ILUMA  EREA  TEREA  AMBER  AMBER  WORKS ONLY WITH IQOS ILUMA  WORKS ONLY WITH IQOS ILUMA  TEREA  TEREA  AMBER  AMBER  WORKS ONLY WITH 1005 ILUMA  WORKS ONLY WITH IQOS ILUMA  TEREA  TEREA  AED  150  USD  4167  WORKS  ONLY WITH  ILUMA  ONLY  WITH,,AMBER,,1
